2.6334,4.08989,-60.1466
2.64536,4.11867,-60.1471
2.65786,4.1477,-60.148
2.67055,4.1767,-60.1495
2.68294,4.20554,-60.1497
2.6955,4.23432,-60.1498
2.70828,4.26303,-60.151
2.72127,4.29221,-60.1517
2.7338,4.32142,-60.152
2.74627,4.35067,-60.1528
2.75901,4.37966,-60.1535
2.77123,4.40836,-60.1539
2.78348,4.4369,-60.1546
2.79571,4.46551,-60.1556
2.80784,4.49436,-60.1562
2.81975,4.52316,-60.157
2.83149,4.55158,-60.1577
2.84324,4.57973,-60.1583
2.85459,4.60797,-60.1592
2.8658,4.6365,-60.16
2.87638,4.66487,-60.1613
2.88671,4.69269,-60.1619
2.89755,4.7207,-60.1628
2.90874,4.74941,-60.1639
2.91894,4.77859,-60.1642
2.92874,4.80753,-60.1648
2.93828,4.83615,-60.167
2.94768,4.865,-60.1678
2.95742,4.89419,-60.1688
2.96743,4.92359,-60.1711
2.97732,4.95281,-60.1722
2.98725,4.982,-60.1727
2.99759,5.01112,-60.1742
3.00837,5.04079,-60.1756
3.01889,5.0708,-60.1763
3.02926,5.10064,-60.1774
3.03975,5.13049,-60.1782
3.04995,5.15998,-60.1791
3.06015,5.18932,-60.1804
3.07041,5.21872,-60.1813
3.08047,5.24813,-60.1826
3.09042,5.27744,-60.1838
3.10062,5.30655,-60.1847
3.11089,5.33553,-60.1856
3.12119,5.36465,-60.1869
3.13121,5.39381,-60.1886
3.14075,5.42289,-60.1897
3.15064,5.45204,-60.1914
3.16112,5.48066,-60.1933
3.17172,5.50894,-60.1937
3.18302,5.53709,-60.195
3.19397,5.56519,-60.1969
3.20484,5.59373,-60.1975
3.2155,5.62223,-60.199
3.22634,5.65049,-60.2005
3.23757,5.67901,-60.2016
3.24713,5.7081,-60.2035
3.25753,5.73741,-60.2053
3.26848,5.76673,-60.2074
3.27954,5.79581,-60.2084
3.2908,5.82457,-60.2095
3.30226,5.85354,-60.2109
3.31398,5.88233,-60.212
3.32545,5.91117,-60.2125
3.3372,5.94,-60.2133
3.34891,5.96834,-60.214
3.36032,5.99704,-60.2139
3.37156,6.02591,-60.2148
3.38297,6.05456,-60.2161
3.39407,6.08314,-60.2165
3.40484,6.11168,-60.2168
3.41576,6.14036,-60.2172
3.42629,6.16896,-60.2175
3.43672,6.19738,-60.2176
3.4471,6.22555,-60.218
3.45769,6.25356,-60.2185
3.46821,6.28187,-60.219
3.47864,6.31035,-60.2192
3.48901,6.33857,-60.2193
3.49924,6.36663,-60.2197
3.50922,6.3949,-60.2199
3.51934,6.42377,-60.2202
3.52932,6.4526,-60.2209
3.53906,6.48141,-60.2208
3.54915,6.51021,-60.2214
3.55925,6.53908,-60.222
3.56927,6.56847,-60.2218
3.57924,6.59783,-60.2223
3.58936,6.62744,-60.2232
3.5994,6.65722,-60.2237
3.60911,6.68725,-60.224
3.61866,6.71729,-60.2248
3.62808,6.74703,-60.2251
3.63723,6.77674,-60.2255
3.64642,6.80661,-60.2261
3.65576,6.83637,-60.2263
3.66515,6.86581,-60.2263
