0.00327565,0.00100427,0-0.00600357
0.00359637,0.000785563,0-0.00770547
0.00325802,0.00102736,0-0.00636886
0.00446094,0.00158116,0-0.00733864
0.00422961,0.00167602,0-0.00799173
0.00609261,0.00392877,0-0.0127207
0.0066076,0.00336569,0-0.0123328
0.00632123,0.00353354,0-0.0123057
0.00638707,0.00391946,0-0.0134891
0.00668012,0.00339349,0-0.0141329
0.00921489,0.00589876,00.000730723
0.00879331,0.00628337,0-0.0020774
0.00942805,0.00626813,0-0.00146576
0.00924943,0.00684153,0-0.00268969
0.00989787,0.00571183,0-0.0022446
0.0085586,0.00522033,00.00576838
0.00911129,0.00591358,00.00568225
0.00936902,0.00646965,00.00582358
0.00906939,0.00565075,00.00498141
0.00994869,0.00645084,00.00607854
0.00579619,0.00349743,0-0.00185791
0.00590048,0.0032425,0-0.00397939
0.00536961,0.00237388,0-0.00251305
0.00728945,0.000482368,0-0.00389113
0.00686499,6.80278e-05,0-0.00464945
0.00873513,0.00253581,00.00910434
0.0090499,0.00247609,00.00729805
0.00869494,0.00302239,00.00838061
0.00812536,0.00201119,00.00743152
0.00832853,0.00187371,00.00709724
0.004948,0.0004575,00.00135404
0.00492305,-0.000316395,0-0.00113438
0.00559775,-0.00171183,00.000116176
0.00677301,-0.00263908,0-0.00165213
0.00900312,-0.00331019,0-0.000585807
0.0146135,-0.00649927,0-0.0055309
0.0251062,-0.009743,0-0.00690786
0.0403595,-0.0142336,0-0.00472787
0.068116,-0.0219154,0-0.00331174
0.108226,-0.0358781,05.01215e-05
0.159195,-0.0566634,00.00985023
0.236922,-0.0812572,00.013066
0.335236,-0.111814,00.0120621
0.454943,-0.145116,00.0151381
0.598643,-0.191337,00.0123322
0.772209,-0.239835,00.0154072
0.967228,-0.297654,00.0104465
1.19043,-0.36682,00.00614126
1.44917,-0.443253,00.00185257
1.73635,-0.521363,00.00167788
2.06426,-0.602719,00.00573166
2.41539,-0.715748,00.00730241
2.81038,-0.828709,00.0116532
3.24639,-0.94424,00.00249291
3.71468,-1.0809,0-0.00371239
4.23111,-1.21455,0-0.00225002
4.76193,-1.33794,00.00925647
5.31731,-1.50499,00.0286678
5.92329,-1.67294,00.000712137
6.55691,-1.8239,0-0.0164304
7.21371,-1.9989,0-0.0170768
7.90547,-2.15557,0-0.0409164
8.61436,-2.29596,0-0.0708612
9.31816,-2.46966,0-0.0814692
10.0453,-2.64562,0-0.116966
10.8063,-2.78034,0-0.198554
11.5215,-2.92176,0-0.188494
12.2467,-3.10545,0-0.174885
12.991,-3.27365,0-0.194219
13.741,-3.40254,0-0.194873
14.5062,-3.5153,0-0.220235
15.297,-3.60963,0-0.257065
16.0831,-3.72413,0-0.266862
16.855,-3.8445,0-0.223042
17.6733,-3.92686,0-0.254907
18.5126,-3.97656,0-0.345353
19.3093,-4.0476,0-0.306632
20.1135,-4.06854,0-0.319639
20.9329,-4.06505,0-0.370959
21.7532,-4.0474,0-0.427457
22.5798,-3.97571,0-0.513985
23.3589,-3.89846,0-0.52872
24.1239,-3.83154,0-0.517242
24.9071,-3.72683,0-0.562279
25.6798,-3.6519,0-0.52544
26.4236,-3.52892,0-0.445448
27.2279,-3.38731,0-0.436707
28.0279,-3.19748,0-0.4326
28.8084,-2.97754,0-0.35212
29.6309,-2.73222,0-0.347767
30.4089,-2.50949,0-0.414522
31.1843,-2.20461,0-0.387216
31.9284,-1.87439,0-0.381251
32.6343,-1.59544,0-0.322392
33.3325,-1.26476,0-0.275373
34.0521,-0.920888,0-0.287065
34.741,-0.51897,0-0.295301
35.405,-0.0995751,0-0.264946
36.0857,0.350254,0-0.27019
36.7693,0.824788,0-0.292283
37.4239,1.31229,0-0.216162
38.0742,1.81044,0-0.200528
38.7069,2.33616,0-0.177935
39.3271,2.88162,0-0.162961
39.9322,3.44636,0-0.152429
40.5051,4.02029,0-0.0874971
41.0579,4.58176,0-0.01153
41.5697,5.20426,00.0571331
42.0594,5.84357,00.0822698
42.4821,6.52939,00.141805
42.8001,7.20171,00.283014
43.1628,7.87417,00.396848
43.5529,8.55544,00.464791
43.949,9.22758,00.519361
44.2896,9.96443,00.553085
44.5381,10.7067,00.616568
44.7845,11.4637,00.678985
45.0789,12.2143,00.716711
45.3976,12.9398,00.781774
45.6629,13.7017,00.818924
45.9069,14.4747,00.864271
46.1437,15.2863,00.856298
46.3517,16.0876,00.877834
46.542,16.8855,00.919873
46.783,17.6616,00.979138
46.9966,18.4557,00.979036
47.2005,19.2537,01.00379
47.3697,20.0419,01.07266
47.5,20.8413,01.12528
47.6556,21.6315,01.19306
47.8682,22.4288,01.2355
48.0637,23.2237,01.28503
48.2473,23.9722,01.41763
48.3741,24.8064,01.42461
48.4957,25.6007,01.44009
48.6094,26.3867,01.51994
48.7424,27.1587,01.56462
48.8509,27.9602,01.59677
48.9503,28.7228,01.68879
49.0419,29.532,01.73438
49.0748,30.3285,01.76189
49.1074,31.1251,01.80993
49.1452,31.9083,01.90281
49.1874,32.7089,01.94571
